Title,Rank,Votes,Score,"Esoteric
Gurren Lagann,33,18,274,116,25.7,Original,27,Gainax,2007-04-01,2007-09-30,"Action, Comedy, Drama, Mecha, Romance, Sci-Fi",2001,21729,/gH8W7855SNXTXgMOGhTHj9omXfc.jpg
Flowers of Evil,73,5,137,117,25.3,Manga,13,ZEXCS,2013-04-05,2013-06-29,"Drama, Psychological, Romance",16201,55006,/5P9YPFvwSlj73TH8t38jeOB9nWV.jpg
WataMote,137,6,64,118,25.2,Manga,12,SILVER LINK.,2013-07-09,2013-09-24,"Comedy, Slice of Life",16742,61755,/ykhZOdUjdpFuQZqnN4QVWlTjX6o.jpg
Kemonozume,79,9,126,119,25,Original,13,MADHOUSE,2006-08-05,2006-11-05,"Action, Horror, Romance, Supernatural",1454,38806,/7HXXQ0WUpvpM5S79OpbcSiXtUku.jpg
Sailor Moon,93,10,104,119,25,Manga,200,Toei Animation,1992-03-07,1997-02-08,"Action, Adventure, Fantasy, Mahou Shoujo, Romance",530,3570,/uDJrkdgddtzDlwNZw1Hy3HKiMy4.jpg
Nichijou,10,22,497,121,24.6,Manga,26,Kyoto Animation,2011-04-03,2011-09-25,"Comedy, Slice of Life",10165,44684,/qmi1VpOvPFRHg02fbLuc3pVrMbt.jpg
The Disastrous Life of Saiki K.,238,1,29,122,24.5,Manga,48,J.C. Staff,2016-07-04,2018-06-27,"Comedy, Slice of Life, Supernatural",112625,67676,/tpym31HVeQgenaubvCxkMF3kFHy.jpg
K-On!,13,21,449,123,24.1,Manga,35,Kyoto Animation,2009-04-03,2010-09-15,"Comedy, Music, Slice of Life",5680,42253,/70hf2538UAf7mzzNgvqTlWq6PDf.jpg
School-Live!,235,2,29,124,23.6,Manga,12,Lerche,2015-07-09,2015-09-24,"Horror, Mystery, Psychological, Slice of Life, Supernatural",20754,63495,/46C5g7zAN4KHfZQBaJamyWia8l0.jpg
Gundam G no Reconguista,259,1,25,125,23.5,Original,26,Sunrise,2014-10-02,2015-03-27,"Action, Mecha, Sci-Fi",20658,61414,/2dOUToA73fSsDJSMDFPeyIoGW0q.jpg
The Twelve Kingdoms,174,2,46,126,23.4,Light Novel,45,Studio Pierrot,2002-04-09,2003-08-30,"Action, Adventure, Fantasy, Supernatural",153,42729,/z9NsTwb101up3a4j9xgcCa8H02U.jpg
The Irresponsible Captain Tylor,185,1,41,127,22.4,Light Novel,35,Tatsunoko Production,1993-01-25,2017-09-26,"Adventure, Comedy, Sci-Fi",569,34189,/tmPKSHWBVIG2uBFDfMV1qdql8hV.jpg
Made in Abyss,30,18,297,128,22,Manga,13,Kinema Citrus,2017-07-07,2017-09-29,"Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi",97986,72636,/jLkCeh5xNCuQPHIbTfuLgSqt2OQ.jpg
Kaguya-sama: Love Is War,80,8,124,129,21.5,Manga,24,A-1 Pictures,2019-01-12,2020-06-27,"Comedy, Psychological, Romance, Slice of Life",101921,83121,/5khbC6AuNgnvnoDbjIMKCOhEtIc.jpg
Cardcaptor Sakura,116,6,81,129,21.5,Manga,92,MADHOUSE,1998-04-07,2018-06-10,"Adventure, Comedy, Drama, Fantasy, Mahou Shoujo, Romance",232,35790,/dj0uI34MOkZMTE233tfRebs0YYx.jpg
Yu Yu Hakusho,82,6,124,131,21.3,Manga,112,Studio Pierrot,1992-10-10,1994-12-17,"Action, Adventure, Comedy, Supernatural",392,30669,/qyqnXUsMSCWXL5vHLRhu6xiNdmK.jpg
Violet Evergarden,97,6,100,132,20.9,Light Novel,13,Kyoto Animation,2018-01-11,2018-04-05,"Drama, Fantasy, Slice of Life",21827,75214,/ImvHbM4GsJJykarnOzhtpG6ax6.jpg
Rurouni Kenshin,117,6,78,133,20.5,Manga,2,Studio Gallop,2001-01-16,2001-01-23,"Action, Adventure, Comedy, Romance",45,114753,/eMmKnh9abKu8kS1ytpkaZeThKMW.jpg
Terror in Resonance,179,4,42,133,20.5,Original,11,MAPPA,2014-07-11,2014-09-26,"Drama, Mystery, Psychological, Thriller",20661,61421,/nF24ODOd7PBKZ5riiJ0W7A8hjNZ.jpg
Spice and Wolf,127,5,70,135,20.4,Light Novel,25,Imagin,2008-01-08,2009-09-24,"Adventure, Fantasy, Romance",2966,26707,/sHTYKYt03rpVkYjof9VRtmKys6d.jpg
Boogiepop Phantom,99,6,99,136,20.1,Light Novel,12,MADHOUSE,2000-01-06,2000-03-23,"Drama, Horror, Mystery, Psychological, Supernatural",369,34152,/oldWjJaCGGyHjfh5aKKs4VKzXav.jpg
Chihayafuru,181,3,42,136,20.1,Manga,74,MADHOUSE,2011-10-05,2020-03-24,"Drama, Romance, Slice of Life, Sports",10800,45247,/rVZipy8jfpH4BUnnv6O5n0alNK1.jpg
Haikyuu!!,158,5,52,138,19.8,Manga,85,Production I.G,2014-04-06,2020-12-19,"Comedy, Drama, Sports",20464,60863,/pLpQZHVduTzJTOVNmWfppY9tk3W.jpg
Alien 9,189,5,38,138,19.8,Manga,46,J.C. Staff,2008-04-18,2010-03-26,"Drama, Horror, Psychological, Sci-Fi, Slice of Life",1177,6040,/pGhCUqPaXZ0Xp4dUCT7Q6hjJArf.jpg
Key the Metal Idol,208,1,35,138,19.8,Original,15,Studio Pierrot,1994-12-16,1995-03-24,"Action, Drama, Mecha, Music, Sci-Fi",1457,46599,/5EvWydT9cfVMTn0WLuNUkybNJmU.jpg
Space Dandy,106,9,92,141,19.6,Original,26,bones,2014-01-04,2014-09-28,"Comedy, Sci-Fi",20666,60874,/tR4Qthbo5CFxCL050AMxstzkYlC.jpg
Magical Circle Guru Guru,286,1,20,141,19.6,Manga,107,Nippon Animation,1994-10-13,2017-12-20,"Adventure, Comedy, Fantasy",331,36247,/31gIMFG891fq94mRWb4TusfR6GH.jpg
Rising of the Shield Hero,308,1,18,143,19.2,Light Novel,26,Kinema Citrus,2019-01-09,2019-06-26,"Action, Adventure, Fantasy",99263,83095,/6cXf5EDwVhsRv8GlBzUTVnWuk8Z.jpg
Chobits,186,3,39,144,18.8,Manga,26,MADHOUSE,2002-04-02,2002-09-24,"Comedy, Drama, Ecchi, Romance, Sci-Fi",59,37527,/qREebPjRrLjBoSGCP4v8Tz9OAOU.jpg
Mobile Suit Gundam: The Origin,268,1,23,145,18.6,Manga,13,Sunrise,2019-04-29,2019-08-12,"Action, Mecha, Sci-Fi",10937,88865,/kdt4G11wKDJBI8UFIFSxsm2PNb6.jpg
Sweet Blue Flowers,268,1,23,145,18.6,Manga,11,J.C. Staff,2009-07-02,2009-09-10,"Drama, Romance, Slice of Life",6164,34838,/eeuSpw47UmVYLgNFtsauAURxZLf.jpg
Tetsujin 28-Gou,268,1,23,145,18.6,Manga,,,,,"Mecha, Slice of Life",19445,,
Neon Genesis Evangelion,1,61,1374,148,18.1,Original,26,Gainax,1995-10-04,1996-03-27,"Action, Drama, Mecha, Mystery, Psychological, Sci-Fi",30,890,/y2ah9t0navXyIvoHg1uIbIHO3tt.jpg
Infinite Ryvius,172,3,46,148,18.1,Original,26,Sunrise,1999-10-10,2000-03-29,"Drama, Mecha, Psychological, Sci-Fi",593,42982,/2TrLTHpATruw722zD5osAVwyJL9.jpg
Ouran High School Host Club,158,5,52,150,17.6,Manga,26,bones,2006-04-05,2006-09-27,"Comedy, Drama, Romance, Slice of Life",853,1043,/30N2QvPvT0F4tTQk1A6qguL63yd.jpg
Little Women,301,1,19,150,17.6,Novel,26,Toei Animation,1981-04-07,1981-09-29,Slice of Life,4991,37526,/f1aJ4akWechaU1906PR8RAm1GXS.jpg
Haibane Renmei,12,23,459,152,17.5,Other,13,Radix,2002-10-09,2002-12-18,"Drama, Fantasy, Mystery, Psychological, Slice of Life",387,34164,/uSrIXnPIUkapk0JwMldDZTusl5O.jpg
Saint Seiya,190,3,38,153,16.9,Manga,114,Toei Animation,1986-10-11,1989-04-01,"Action, Adventure, Fantasy, Sci-Fi",1254,42444,/dhtiYYbob8saEUFWle3aWgVY28M.jpg
Macross,113,6,84,154,16.8,Original,36,Tatsunoko Production,1982-10-03,1983-06-26,"Action, Drama, Mecha, Music, Romance, Sci-Fi",1088,21734,/16tZIQgVJ4EcyrIvOfMWqE0tSOu.jpg
Parasyte -the maxim-,120,8,76,154,16.8,Manga,24,MADHOUSE,2014-10-09,2015-03-26,"Action, Drama, Horror, Psychological, Sci-Fi",20623,61459,/2ngHwPQhHGPpLkLQd2MTAI3iXPq.jpg
Shin Mazinger Z,277,1,22,156,16.1,Manga,26,Bee Media,2009-04-04,2009-09-26,"Action, Mecha",5485,36249,/4zaIJQm56idsSTvw0V2vbPumg7y.jpg
Hyouka,24,17,343,157,15.9,Light Novel,22,Kyoto Animation,2012-04-23,2012-09-17,"Mystery, Slice of Life",12189,65329,/dnYx8jtn2JzAMkVYRG9mFZMJoDc.jpg
Gunslinger Girl,192,2,38,158,15.8,Manga,26,MADHOUSE,2003-10-08,2008-03-31,"Action, Drama, Psychological, Sci-Fi",134,31731,/2tr9uJuGdMFzWfXF2tVZvpVaRXe.jpg
Wolf's Rain,258,2,25,159,15.2,Original,30,bones,2003-01-07,2004-01-25,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",202,34801,/9FPi11HMGhrZs07IV2YkedoXJFm.jpg
The Big O,204,4,35,160,15.1,Original,26,Sunrise,1999-10-13,2003-03-27,"Action, Mecha, Mystery, Psychological, Sci-Fi",567,18241,/AsL5J7k9diSxQcxwNEYJSKqtRCS.jpg
Humanity Has Declined,95,5,102,161,14.9,Light Novel,12,AIC A.S.T.A.,2012-07-02,2012-09-17,"Comedy, Fantasy, Sci-Fi",10357,53356,/g52KI6mJOmPKek3Lqtqfc42ARSG.jpg
Showa Genroku Rakugo Shinju,103,5,97,162,14.8,Manga,25,Studio DEEN,2016-01-09,2017-03-25,Drama,20972,66862,/9BW5x9sxzVAOpjhCQCr0rObESDy.jpg
The Promised Neverland,179,4,42,163,14.7,Manga,23,CloverWorks,2019-01-11,2021-03-26,"Drama, Fantasy, Horror, Mystery, Psychological, Thriller",101759,83097,/oBgRCpAbtMpk1v8wfdsIph7lPQE.jpg
Ranma 1/2,242,2,28,163,14.7,Manga,161,Studio DEEN,1989-04-15,1992-09-25,"Action, Comedy, Ecchi, Romance, Slice of Life",210,57706,/9E9Jq2tL2IiJFZJofM3kSJxVqWr.jpg
Record of Lodoss War,315,2,17,163,14.7,Other,13,MADHOUSE,1990-06-30,1991-11-20,"Action, Adventure, Fantasy, Supernatural",207,42713,/4DmzoxYfS4A1eFA35QIEJCvZE4D.jpg
Fantastic Children,132,2,66,166,14.4,Original,26,Nippon Animation,2004-10-04,2005-03-28,"Adventure, Fantasy, Mystery, Romance, Sci-Fi",455,34699,/f1HH3HPYXSvlYnaw141l0nR4tiv.jpg
Gunbuster,76,10,128,167,14.3,Original,12,Gainax,1988-10-07,2006-08-25,"Action, Comedy, Drama, Mecha, Sci-Fi",949,66931,/4WzCDZT7G2QMvF8JxxlYTG85hSp.jpg
Fist of the North Star,323,2,16,168,14.2,Manga,152,Toei Animation,1984-10-11,1988-02-18,"Action, Drama, Sci-Fi",967,56387,/yypGXmBPvyJiD7pOeD2R3q84FlA.jpg
Vinland Saga,150,3,58,169,14.1,Manga,24,Wit Studio,2019-07-08,2019-12-30,"Action, Adventure, Drama",101348,88803,/vUHlpA5c1NXkds59reY3HMb4Abs.jpg
Shigurui,340,1,13,170,13.9,Manga,12,MADHOUSE,2007-07-19,2007-10-11,"Action, Drama",2216,34144,/me1yCtPZAC6kEW1IGWW7XxJASCt.jpg
Bokurano,283,1,21,171,13.7,Manga,24,GONZO,2007-04-08,2007-09-27,"Drama, Mecha, Psychological, Sci-Fi",1690,34765,/AsySHpvkFGO7mTcQ8jlWQKNCGBx.jpg
Hulaing Babies,317,1,17,172,13.5,Original,12,Gaina,2019-01-11,2019-03-29,"Comedy, Slice of Life",102928,83455,/siquCWXALdwCJO5BokDy5WsdoiI.jpg
Sabu & Ichi's Arrest Warrant,136,2,65,173,13.4,Manga,2,Toei Animation,1968-10-03,1969-09-24,"Action, Adventure, Drama",5997,34217,/tVX4tqAETmJrdrsALa0eZgiLRGk.jpg
Kids on the Slope,151,6,57,174,13.3,Manga,12,MAPPA,2012-04-13,2012-06-29,"Drama, Music, Romance, Slice of Life",12531,42557,/dFwBvUhtV8ynSLaSXfRUYInlTFk.jpg
Le Portrait de Petite Cosette,156,2,55,175,13.2,Original,3,Daume,2004-04-11,2004-12-12,"Drama, Horror, Psychological, Romance, Supernatural",514,73501,/o216dynsE8s4CVF8MvwmUPwIE0E.jpg
Casshern Sins,81,7,124,176,13.1,Other,24,MADHOUSE,2008-10-01,2009-03-15,"Action, Adventure, Drama, Psychological, Sci-Fi",4981,31730,/sZWVvD5UNQTwhrO8HA3SELfZm7E.jpg
Panty & Stocking With Garterbelt,127,5,70,177,12.9,Original,28,Gainax,2010-10-02,2010-12-25,"Action, Comedy, Ecchi, Supernatural",8795,42421,/620mZ7Lo8B1681F2ts4HeBIkLRz.jpg
Bloom Into You,142,4,63,178,12.8,Manga,13,TROYCA,2018-10-05,2018-12-28,"Drama, Romance, Slice of Life",101573,82861,/iZNfwA4kbHwPRUzwIX9EVCTcUhS.jpg
Darker than Black,227,3,30,178,12.8,Original,37,bones,2007-04-06,2009-12-25,"Action, Mystery, Sci-Fi",2025,31718,/iyxodUUXaeLk0N0siDWHA7rbURk.jpg
Eden of the East,162,3,52,180,12.7,Original,11,Production I.G,2009-04-09,2009-06-19,"Action, Adventure, Drama, Mystery, Psychological, Romance, Sci-Fi, Thriller",5630,21750,/iit1Yfsv2Q2VyjkDkbygxrQd8WG.jpg
Chibi Maruko-chan,178,2,43,181,12.6,Manga,801,Nippon Animation,1990-01-07,1992-09-13,"Comedy, Slice of Life",951,57775,/5Ta4wnZPzOf4oCEgpBfmvXWhYwJ.jpg
Barakamon,186,3,39,181,12.6,Manga,12,Kinema Citrus,2014-07-05,2014-09-27,"Comedy, Slice of Life",20722,67048,/wH5500OtgEHVNs606APuvL5iZ5z.jpg
No Game No Life,218,2,32,181,12.6,Light Novel,12,MADHOUSE,2014-04-09,2014-06-25,"Adventure, Comedy, Ecchi, Fantasy",19815,60808,/qpKGtHATF326zuC1jh7WCrY7u5g.jpg
Serial Experiments Lain,2,49,1112,184,12.4,Original,13,Triangle Staff,1998-07-06,1998-09-28,"Drama, Mystery, Psychological, Sci-Fi, Supernatural",339,1087,/ej3tcxv2YYVWy6WoOeWZTcrkiI8.jpg
The Tatami Galaxy,6,29,657,184,12.4,Novel,11,MADHOUSE,2010-04-23,2010-07-02,"Comedy, Mystery, Psychological, Romance",7785,36243,/3Ngmk2kNh6JTdqPwMdiZvDSdlGH.jpg
Steins;Gate,16,25,431,184,12.4,Visual Novel,24,White Fox,2011-04-06,2011-09-14,"Drama, Psychological, Sci-Fi, Thriller",9253,42509,/6iysgZr6Upm5RlAlVFo5f4D9euu.jpg
Naruto,190,3,38,184,12.4,Manga,213,Studio Pierrot,2017-04-05,2021-08-01,"Action, Comedy",20,70881,/e0B6i48kxdRkMcK4tR4YNfXGWOc.jpg
Cowboy Bebop,3,46,978,188,12.3,Original,26,Sunrise,1998-04-03,1999-04-24,"Action, Adventure, Drama, Sci-Fi",1,30991,/xDiXDfZwC6XYC6fxHI1jl3A3Ill.jpg
Little Witch Academia,107,6,92,188,12.3,Original,25,Trigger,2017-01-09,2017-06-26,"Adventure, Comedy, Fantasy",14349,69293,/dIeb4SEjkgaIrS1Vrvie8KUIDa0.jpg
Guilty Crown,193,1,38,188,12.3,Original,22,Production I.G,2011-10-13,2012-03-22,"Action, Drama, Mecha, Psychological, Romance, Sci-Fi",10793,43125,/oLhuiKf6hSjfgejoVT9Tlv8BblY.jpg
Aggretsuko,307,3,18,188,12.3,Original,30,Fanworks,2018-04-20,2020-08-27,"Comedy, Music, Slice of Life",101571,78941,/gJ737LXVzdHyDA46MeKXh3iorMV.jpg
Bleach,241,3,28,192,12.2,Manga,1,Studio Pierrot,,,"Action, Adventure, Supernatural",269,100645,/l8P5lgwxwnMueUOr6PsHc98jtL4.jpg
Revolutionary Girl Utena,5,30,708,193,12.1,Original,39,J.C. Staff,1997-04-02,1997-12-24,"Drama, Fantasy, Mystery, Psychological, Romance",440,1042,/bnWxRJHWbYcAGq9HWWuKCwm7I5X.jpg
Erased,315,2,17,194,12,Manga,7,A-1 Pictures,2019-11-08,2019-12-20,"Drama, Mystery, Psychological, Supernatural, Thriller",21234,95124,/6OkogyOFrWlOnjFyTnlP0fWeCto.jpg
Bludgeoning Angel Dokuro-chan,333,1,14,195,11.9,Light Novel,10,Hal Film Maker,2005-03-13,2007-08-11,"Comedy, Ecchi",357,42870,/hJOKiT6BCfmiP1qpnJj0oy3b3lD.jpg
Nodame Cantabile,206,2,35,196,11.8,Manga,45,J.C. Staff,2007-01-11,2010-03-26,"Comedy, Drama, Music, Romance, Slice of Life",1698,45527,/cMhcTPgU2493A3akpBXbzDO0dxl.jpg
Patalliro!,365,1,10,196,11.8,Manga,26,Toei Animation,2005-06-06,2005-11-29,"Adventure, Comedy, Romance",2835,27347,/xsxt3VrfCKXIyR4YY3y3O1usf5v.jpg
KonoSuba,209,2,34,198,11.7,Light Novel,20,Studio DEEN,2016-01-14,2017-03-16,"Adventure, Comedy, Fantasy",21202,65844,/oRaOeQlwktbGSd2T31FYAcgHZlh.jpg
Brain Powerd,286,1,20,199,11.5,Original,26,Sunrise,1998-04-08,1998-11-11,"Action, Adventure, Mecha, Sci-Fi",1542,20112,/dGBQVJch6BrEG3LOnWvR0qjgJ2A.jpg
Hinamatsuri,286,1,20,199,11.5,Manga,12,feel.,2018-04-06,2018-06-22,"Comedy, Sci-Fi, Slice of Life, Supernatural",100077,76758,/1RLXQqX3Lv50uBECZIzuqGW887t.jpg
The Melancholy of Haruhi Suzumiya,23,23,349,201,11.2,Light Novel,28,Kyoto Animation,2006-04-03,2009-09-11,"Comedy, Mystery, Sci-Fi, Slice of Life, Supernatural",849,42511,/5rbehM5zkF8xlLce4F9kJZWhqmU.jpg
Detroit Metal City,123,3,75,202,11,Manga,12,Studio 4°C,2008-08-08,2008-08-08,"Comedy, Music",3702,43066,/kWPhuRsUdJWskvNUd1aCndjFZIl.jpg
Star Driver,122,4,75,203,10.9,Original,25,bones,2010-10-03,2011-04-03,"Action, Mecha",8934,37101,/hKoizA27ASM5mBaeKgD2PgScbEm.jpg
When They Cry,199,4,36,203,10.9,Visual Novel,48,Studio DEEN,2020-10-01,2021-08-05,"Horror, Mystery, Psychological, Supernatural, Thriller",934,100988,/3NiRdFXb9xz7ZFgmZ0RmoWjkTvz.jpg
Lupin the Third: The Woman Called Fujiko Mine,69,5,141,205,10.6,Manga,13,TMS Entertainment,2012-04-05,2012-06-28,"Action, Adventure, Comedy, Drama, Ecchi, Psychological, Thriller",13203,45860,/c1i6k29vViZrRCdcISthoEg5N3s.jpg
Kimi no Todoke,355,2,11,205,10.6,Manga,37,Production I.G,2009-10-07,2011-03-30,"Comedy, Drama, Romance, Slice of Life",6045,68854,/2XZ0Ofg1ZUZMFrbyWJuakSJAKZz.jpg
Yokohama Shopping Log,165,3,50,207,10.5,Manga,4,Ajiado,1998-05-21,2003-03-05,"Sci-Fi, Slice of Life",975,79287,/azF6l6CaVSmPFSm7u9yEaqlhfXS.jpg
Death Parade,133,5,65,208,9.8,Original,12,MADHOUSE,2015-01-10,2015-03-28,"Drama, Mystery, Psychological, Supernatural, Thriller",20931,61901,/qeD9wDenN7CPA99FScSErJCvcWb.jpg
Golden Time,196,1,37,209,9.7,Original,24,,2013-10-03,2014-03-27,"Comedy, Fantasy",102755,67389,/qp4eHCZMR14dtubvzr67PZqH5fa.jpg
Hayate the Combat Butler,196,1,37,209,9.7,Manga,102,SynergySP,2007-04-01,2013-07-01,"Action, Comedy, Romance",2026,56355,/257dUYlovXHuFaA1Tn2oAOoLENF.jpg
"She, The Ultimate Weapon",196,1,37,209,9.7,Manga,13,GONZO,2002-07-02,2002-09-24,"Drama, Romance, Sci-Fi",529,34771,/hScmm5ToLt0v0b8Yb0e7IboEyUd.jpg
RahXephon,230,2,30,209,9.7,Original,26,bones,2002-01-21,2002-09-10,"Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",165,13375,/ngBOoMd6lCtT6M4UsmhW4ZCg4lq.jpg
Doraemon,328,1,15,209,9.7,Manga,879,,2005-04-22,2019-04-26,,501,65733,/pXG8Exsmd50bq2Qx2RzByumgwqK.jpg
Hikaru no Go,218,2,32,214,9.5,Manga,75,Studio Pierrot,2001-10-10,2003-03-26,"Comedy, Sports, Supernatural",135,30982,/qrk2w3qchJmmNIxPNs9I6PYfcWn.jpg
Dororo and Hyakkimaru,252,1,26,214,9.5,Manga,26,Mushi Productions,1969-04-06,1969-09-28,"Action, Adventure, Supernatural",5760,21298,/kFFRiNaQJub24cgiNmDfLjZj9oT.jpg
Assassination Classroom,153,3,55,216,9.4,Manga,47,Lerche,2015-01-10,2016-07-01,"Action, Comedy, Drama, Supernatural",20755,62110,/wOd98jDHkoWy2LZ4gSy67X1ihv1.jpg
To My Brother...,161,4,52,216,9.4,Manga,39,Tezuka Productions,1991-07-14,1992-05-17,"Drama, Psychological",795,36588,/uj4w3dFkoI0e3o3JVONyZScICop.jpg
Dirty Pair (1985),301,1,19,216,9.4,Light Novel,,Sunrise,,,"Action, Adventure, Comedy, Sci-Fi",4200,,
S-cry-ed,392,1,7,219,9.2,Original,26,Sunrise,2001-07-04,2005-12-26,"Action, Adventure, Sci-Fi",168,42676,/qjTNWCwl1fZuYjkJMHg4kYNUpPF.jpg
Full Metal Panic? Fumoffu,227,3,30,220,8.9,Light Novel,12,Kyoto Animation,2003-08-26,2003-11-18,"Action, Comedy, Romance",72,68184,/tSJbYU643iD2VqkPw04vWbvYwBk.jpg
Durarara!!,133,5,65,221,8.8,Light Novel,60,Brain's Base,2010-01-08,2016-03-26,"Action, Mystery, Supernatural",6746,42410,/ePTyPLVtMZdyPnU0KwFjrVCSQmI.jpg
Irresponsible Captain Tylor,222,1,31,222,8.7,Light Novel,35,Tatsunoko Production,1993-01-25,2017-09-26,"Adventure, Comedy, Sci-Fi",569,34189,/tmPKSHWBVIG2uBFDfMV1qdql8hV.jpg
Zombieland Saga,295,4,19,222,8.7,Original,24,MAPPA,2018-10-04,2021-06-24,"Comedy, Music, Supernatural",103871,82822,/vSaonGCXOtC8RmqR3e5L8f4lAdI.jpg
Detective Conan,355,2,11,222,8.7,Manga,1058,TMS Entertainment,1996-01-08,2021-07-31,"Adventure, Comedy, Mystery, Psychological",235,30983,/9ve6LW4ltMMpp9WjoR4MGViOp9V.jpg
Gutsy Frog,146,2,60,225,8.6,Manga,22,,1972-10-07,1973-03-03,,5618,45356,/tINZLA1slqie76LvFDrVR7kMB0E.jpg
FLCL,4,37,785,226,8.5,Original,6,Gainax,2003-05-05,2003-05-13,"Action, Comedy, Mecha, Sci-Fi",227,5895,/FkgA8CcmiLJGVCRYRQ2g2UfVtF.jpg
Cromartie High School,153,3,55,227,8.3,Manga,26,Production I.G,2003-10-02,2004-03-26,Comedy,114,12260,/fap9ADMD1xVnz62rmnQerxzmFoy.jpg
Monthly Girls' Nozaki-kun,392,1,7,227,8.3,Manga,12,Doga Kobo,2014-07-07,2014-09-22,"Comedy, Romance, Slice of Life",20668,61379,/maPv22inKIcyfOCil3wrWiyJ7gC.jpg
Blue Gender,402,1,6,227,8.3,Original,26,AIC,1999-10-08,2000-03-31,"Adventure, Drama, Horror, Mecha, Psychological, Romance, Sci-Fi",58,19855,/e1fkIjgSiFvW3edqtG9sSaurcFI.jpg
